id,title,milestone,epic,priority,size,risk,tier,depends_on,issue_file
M1-001,凍結產品合約與 Barrier 退場條件,M1,E00,P1,M,critical,C/H,,issues/M1/M1-001-product-contract.md
M1-002,凍結 KVMEvent／Adapter／Core 架構邊界,M1,E00,P1,M,critical,C,M1-001,issues/M1/M1-002-architecture-boundary.md
M1-003,凍結獨立實作與授權／證據政策,M1,E00,P1,M,critical,C/S,M1-001,issues/M1/M1-003-independent-implementation-policy.md
M1-004,建立 macOS Repository／Workspace 骨架,M1,E01,P1,XS,low,A,"M1-001,M1-002",issues/M1/M1-004-repository-skeleton.md
M1-011,定義 Privacy-safe Logging 與 Error Taxonomy,M1,E01,P1,M,high,B,M1-002,issues/M1/M1-011-logging-policy.md
M1-005,設定 Apple Silicon arm64 原生 Build,M1,E01,P1,XS,medium,A,M1-004,issues/M1/M1-005-mac-arm64-build.md
M1-006,建立 Swift Package 模組邊界,M1,E01,P1,XS,medium,B,"M1-004,M1-002",issues/M1/M1-006-package-boundaries.md
M1-012,建立 Redacted Diagnostic Bundle 骨架,M1,E01,P1,S,medium,A,M1-011,issues/M1/M1-012-diagnostic-bundle.md
M1-007,建立 Unit／Integration／System Test Targets 與 Fixtures 目錄,M1,E01,P1,XS,low,A,M1-006,issues/M1/M1-007-test-targets.md
M1-013,定義 Canonical KVMEvent Domain Model,M1,E02,P1,S,critical,B,"M1-002,M1-006",issues/M1/M1-013-kvmevent.md
M1-008,建立 Pull Request CI Build／Test Gate,M1,E01,P1,S,medium,A,"M1-005,M1-007",issues/M1/M1-008-cigates.md
M1-023,建立 Barrier Compatibility Evidence Register,M1,E03,P0,M,high,C/H,"M1-003,M1-007",issues/M1/M1-023-barrier-evidence-register.md
M1-014,定義 Device／Screen／Session Identifier Types,M1,E02,P1,XS,medium,A,M1-013,issues/M1/M1-014-domain-identifiers.md
M1-015,定義 Core Error／Result／Cancellation Taxonomy,M1,E02,P1,XS,medium,A,"M1-013,M1-011",issues/M1/M1-015-core-errors.md
M1-009,加入 Format／Lint／Warnings-as-errors 規則,M1,E01,P1,S,low,A,M1-008,issues/M1/M1-009-code-quality.md
M1-010,建立 Architecture Boundary Checker,M1,E01,P1,S,high,B,"M1-006,M1-008",issues/M1/M1-010-architecture-check.md
M1-024,擷取並 Sanitise Barrier Client Handshake Fixtures,M1,E03,P0,M,critical,H,M1-023,issues/M1/M1-024-barrier-client-handshake-fixtures.md
M2-015,實作 Screen Inventory 與 Display Change Monitor,M2,E10,P1,M,high,B/H,M1-014,issues/M2/M2-015-mac-screen-inventory.md
M1-016,定義 KVMProtocolSession Interface,M1,E02,P1,S,critical,B,"M1-013,M1-015",issues/M1/M1-016-kvmprotocol-session.md
M1-017,定義 Transport Interface 與 Byte Stream Semantics,M1,E02,P1,S,critical,B,M1-015,issues/M1/M1-017-transport.md
M1-018,建立 Clock／Timeout／Scheduler 可測試抽象,M1,E02,P1,XS,medium,B,M1-015,issues/M1/M1-018-kvmclock.md
M1-021,實作 Bounded BinaryReader／BinaryWriter,M1,E03,P1,S,high,B,M1-015,issues/M1/M1-021-barrier-binary-codec.md
M1-035,實作 macOS Accessibility Permission Service,M1,E04,P1,M,high,B/H,"M1-006,M1-015",issues/M1/M1-035-accessibility-permission-service.md
M1-052,定義 ClipboardPayload 與 UTF-8 Text Codec,M1,E06,P1,XS,medium,A,"M1-013,M1-015",issues/M1/M1-052-clipboard-payload.md
M1-040,擷取並 Sanitise Barrier Keyboard Fixtures,M1,E05,P0,M,critical,H,"M1-023,M1-024",issues/M1/M1-040-barrier-keyboard-fixtures.md
M2-016,定義 ScreenTopology／ScreenLinks Validation,M2,E10,P1,S,critical,B,M2-015,issues/M2/M2-016-screen-topology.md
M1-019,實作 MockTransport,M1,E02,P1,XS,medium,A,M1-017,issues/M1/M1-019-mock-transport.md
M1-036,實作 macOS Mouse Move Injector,M1,E04,P1,M,high,B/H,"M1-013,M1-035",issues/M1/M1-036-mac-mouse-move-injector.md
M1-053,實作 NSPasteboard Read／Write Adapter,M1,E06,P1,M,high,B/H,"M1-035,M1-052",issues/M1/M1-053-mac-pasteboard-adapter.md
